millis,ax,ay,az,gx,gy,gz
0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.003970010072162657,-0.004143366628477348,1.009922869792396,0.04246248867841663,-0.023719845371533477,0.03823164368084453
20,-0.005630144648727487,0.006787736788023693,1.003133558558664,0.06204213521290253,-0.03606169442252252,0.044796276796084264
30,-0.005310671083645506,-0.01964439691232883,1.0145801393593221,0.05388330169073391,-0.021868536522935647,0.0386054729523965
40,0.006911457807997143,0.0003999330672221197,1.0043240633648682,0.06436539555835025,-0.033661465325746945,0.03786024592444924
50,-0.00151988489667531,-0.01373503787305486,1.0119983379776263,0.046078438197613245,-0.03780757874279826,0.05168775226637012
60,-0.01626483354697924,-0.0038154610411281604,0.996990700934959,0.032843364613086734,-0.04456380213117112,0.03727785231403848
70,-0.0021146940481681434,-0.020732915467909733,1.001214343840099,0.04124647142253926,-0.034114377811272516,0.04151161903881539
80,0.002938775146978739,0.006540030118819065,1.0155701558688028,0.04394749827191787,-0.009172993606722406,0.05659510750858936
90,0.003178453292490686,-0.016970322420265995,1.0040597644975628,0.048876004915730464,-0.01881670844218406,0.05295156905645503
100,0.00636706875195068,-0.006020369794269,1.0113405862182485,0.023684347850174668,-0.03504680294069206,0.03418716463591648
110,0.006488291110082174,0.006991424854728518,0.9889521931912518,0.05762102994420161,-0.018646638006423716,0.035131449713483476
120,-0.003169485512737474,-0.0029161264947408804,0.9988076950665427,0.05864877304458745,-0.027331155641890544,0.04553972580087868
130,0.00979783399786969,-0.008171583182784352,1.0064254263241985,0.0437785222065385,-0.0311488823561507,0.047262450474531405
140,-0.0007455250796683117,0.0058999365911808115,0.9955099964537685,0.047491267327395684,-0.028099257766778005,0.0396862515859097
150,0.013630931992644113,0.005790034731634485,0.9960196672780258,0.04502025659459008,-0.02922322982540564,0.03713527746674471
160,-0.0003550671842977233,0.007763717227960409,0.988942539660387,0.04934293937804509,-0.019178016627030676,0.04977131063429181
170,-0.00741404583350706,0.014441687873311005,0.9956662403700755,0.056424185313210494,-0.03728582688127268,0.030060930665111656
180,0.005144040699557576,-0.009484300405208344,1.0158355953912346,0.04902747425575271,-0.018243896047495226,0.042748138155824116
190,-0.01080517523622253,-0.01417302818862741,0.9772971397316313,0.05013705639827001,-0.03423950421355633,0.03386206575698106
200,-0.0115464650379555,-0.005874696003813511,1.0105063740995215,0.06699990191192101,-0.03285466944332233,0.03356728035904285
210,-0.000813001313045322,0.0003099734867302501,1.0127460581805767,0.045596841803952924,-0.040836106250435676,0.03363715444033936
220,0.0027491331981034615,0.0006522888458800731,1.0068263229125638,0.04335219583508088,-0.014322226756151826,0.03902284395808855
